Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
"dīvidō, dīvidere, dīvīsī, dīvīsum",to divide,628,,,to divide,1
"dō, dare, dedī, datum",to give; to allow {with an accompanying {{infinitive}}}; to inflict {of wounds}; to establish {of laws}; to press {of kisses}; to shed {of tears}; to utter {of sound or song}; to provide {of a path or way}; to bear {of childbirth}; to throw {used {{reflexively}} with *super*},28,Verb,,to give; to allow {with an accompanying {{infinitive}}}; to inflict {of wounds}; to establish {of laws}; to press {of kisses}; to shed {of tears}; to utter {of sound or song}; to provide {of a path or way}; to bear {of childbirth}; to throw {used {{reflexively}} with *super*},1
"doleō, dolēre, doluī, dolitum",to feel pain,785,Verb,,to feel pain,1
"dominus, dominī, {m.}",master,241,Noun,,master,1
"domus, domūs, {f.}",house,73,Noun,,house,1
"dormiō, dormīre, dormīvī, dormītum",to sleep,975,Verb,,to sleep,1
"dulcis, dulce",sweet,383,Adjective,,sweet,1
"duo, duae, duo",two,221,Adjective,,two,1
"dux, ducis, {m./f.}",leader,239,Noun,,leader,1
"ē, ex",out of,26,Preposition,,out of,1
"ēbrius, ēbria, ēbrium",drunk,0,Adjective,,drunk,1
ecce,behold,643,Interjection,,behold,1
"edō, edere, ēdī, ēsum",to eat,0,Verb,,to eat,1
"effugiō, effugere, effūgī",to escape,0,Verb,,to escape,1
"ego, meī, mihī̆, mē, mē","I; me {personal pronoun, {{singular}}}",11,Pronoun,,"I; me {personal pronoun, {{singular}}}",1
ēheu,"alas, oh no",0,Interjection,,"alas, oh no",1
"emō, emere, ēmī, ēmptum",to buy,0,Verb,,to buy,1
"eō, īre, īvī / iī, itum",to go,97,Verb,,to go,1
et,"and; also {as an emphatic adverb}; even {as an emphatic adverb}; {when repeated, *et... et*} both... and",1,Conjunction,,"and; also {as an emphatic adverb}; even {as an emphatic adverb}; {when repeated, *et... et*} both... and",1
etiam,"also, even",67,"Adverb, Conjunction",,"also, even",1
"explōrō, explōrāre, explōrāvī, explōrātum",to investigate,0,Verb,,to investigate,1
"exsilium, exsiliī, {n.}",exile,794,Noun,,exile,1
"exspectō, exspectāre, exspectāvī, exspectātum","to await, to expect",442,Verb,,"to await, to expect",1
"extendō, extendere, extendī, extēnsum",to stretch out,0,Verb,,to stretch out,1
"faba, fabae, {f.}",bean,0,,,bean,1
"fābula, fābulae, {f.}",story,966,Noun,,story,1
"faciēs, faciēī, {f.}",face; appearance,479,Noun,,face; appearance,1
"faciō, facere, fēcī, factum",to make; to do,32,Verb,,to make; to do,1
"falsus, falsa, falsum",false,633,Adjective,,false,1
"familia, familiae, {f.}",family,943,Noun,,family,1
"fēlēs, fēlis, {f.}",cat,0,,,cat,1
"fēmina, fēminae, {f.}",woman,501,Noun,,woman,1
ferē,"(1) about, almost, (2) generally, usually",907,Adverb,,"(1) about, almost, (2) generally, usually",1
"ferō, ferre, tulī, lātum","to bring, bear, carry",45,Verb,,"to bring, bear, carry",1
"figūra, figūrae, {f.}",shape,0,Noun,,shape,1
"fīlius, fīliī, {m.}",son,909,Noun,,son,1
"fīnis, fīnis, {m.}",end,236,Noun,,end,1
"flōs, flōris, {m.}",flower,818,Noun,,flower,1
"fōrma, fōrmae, {f.}",shape,422,Noun,,shape,1
"fortis, forte",strong,286,Adjective,,strong,1
"fortūna, fortūnae, {f.}",fortune,138,Noun,,fortune,1
"frangō, frangere, frēgī, frāctum",to break,345,Verb,,to break,1
"frāter, frātris, {m.}",brother,225,Noun,,brother,1
"fugiō, fugere, fūgī, fugitum",to flee,177,Verb,,to flee,1
"futūrus, futūra, futūrum",future,0,Adjective,,future,1
"galea, galeae, {f.}",helmet,0,,,helmet,1
"gaudeō, gaudēre, gāvīsus sum",to rejoice,407,Verb,,to rejoice,1
"gerō, gerere, gessī, gestum",to carry; to wear,237,Verb,,to carry; to wear,1
"glaciēs, glaciēī, {f.}",ice,0,,,ice,1
"gladius, gladiī, {m.}",sword,862,Noun,,sword,1
"grātia, grātiae, {f.}",charm; thanks,380,Noun,,charm ‖ thanks,1
"grex, gregis, {m.}",flock; group,0,Noun,,flock; group,1
"gubernō, gubernāre, gubernāvī, gubernātum","to steer, drive",0,,,"to steer, drive",1
"habeō, habēre, habuī, habitum",to have,39,Verb,,to have,1
"habitō, habitāre, habitāvī, habitātum",to live,0,Verb,,to live,1
"hic, haec, hoc",this {demonstrative pronoun}; he {when used as a {{masculine}} {{substantive}}}; she {when used as a {{feminine}} {{substantive}}}; it {when used as a {{neuter}} {{substantive}}},7,"Adjective, Pronoun",,this {demonstrative pronoun}; he {when used as a {{masculine}} {{substantive}}}; she {when used as a {{feminine}} {{substantive}}}; it {when used as a {{neuter}} {{substantive}}},1
