Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
"umbra, umbrae, {f.}",shadow; ghost,257,Noun,,shadow ‖ ghost,1
"ūniversālis, ūniversāle",universal,0,,,universal,1
"ūnus, ūna, ūnum",one; alone,53,Adjective,,one; alone,1
"vocō, vocāre, vocāvī, vocātum",to call,158,Verb,,to call,1
"volō, velle, voluī",to want,66,Verb,,to want,1
"volō, volāre, volāvī, volātum",to fly,0,Verb,,to fly,1
"vōs, vestrum/vestrī, vōbīs, vōs, vōbīs",you,130,Pronoun,,you,1
"vōx, vōcis, {f.}",voice,169,Noun,,voice,1
"urbs, urbis, {f.}",city,82,Noun,,city,1
"urna, urnae, {f.}",jar,0,Noun,,jar,1
ūsque,"continuously, all the way to",527,Adverb,,"continuously, all the way to",1
ut,as {with {{indicative}}}; when {with {{indicative}}}; to {introducing a purpose clause with {{subjunctive}}}; so that {introducing a result clause with {{subjunctive}}},15,Conjunction,,as {with {{indicative}}}; when {with {{indicative}}}; to {introducing a purpose clause with {{subjunctive}}}; so that {introducing a result clause with {{subjunctive}}},1
"ūtor, ūtī, ūsus sum",to use,330,Verb,,to use,1
"uxor, uxōris, {f.}",wife,552,Noun,,wife,1
